,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PACE, RATINGS, EFFICIENCY",,,,,,,,,,,SHOOTING FREQUENCY AND EFFICIENCY,,,,,,,,,,,PLAYMAKING,,,,,,,REBOUNDS,,,,,,,,,DEF. EFFORTS,,FOULS,,ADVANCED METRICS,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER ON,,,,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER OFF,,,,,,,,,,,,TEAM AND OPPONENT STATS - ON-OFF DIFFERENCE,,,,,,,,,,,
Yuki Kawamura,Japan,5,3,2,60%,"23,6","13,6",3,"5,8",52%,"1,8","5,4",33%,"4,8","11,2",43%,"2,2","2,8",79%,"0,2","1,8",2,"7,6","2,8","0,8",0,0,2,0,"12,2","-6,4",15,56%,"0,91","92,8","113,8",-21,"116,6","101,5","15,2",51%,56%,17%,"1,38",12%,"0,89",9%,"0,57",3%,"1,5",32%,1,7%,19%,173%,145%,400%,125%,34%,"2,7","1,40%","0,00%","2,20%","0,00%","14,50%","6,50%","20,60%","0,00%","7,60%","3,10%","0,00%","7,7",0,"20,8","0,3","0,1","0,5","0,157","43,5","0,3","43,8",15,"79,1","92,8","113,8",-21,52%,14%,17%,10%,56%,35%,14%,7%,"79,5","110,3","104,1","6,2",60%,26%,15%,9%,52%,31%,14%,6%,"-0,4","-17,5","9,7","-27,2",-8%,-11%,2%,1%,4%,4%,0%,1%
Makoto Hiejima,Japan,5,3,2,60%,"14,6","9,4","1,4","2,8",50%,"1,6","2,8",57%,3,"5,6",54%,"1,8","2,2",82%,"0,6","1,4",2,"1,6","0,8","0,6",0,0,2,0,"7,8",-6,7,32%,"1,34",100,"122,4","-22,4","133,2","109,1","24,1",68%,76%,31%,"0,73",6%,2,3%,2,6%,3,34%,"1,5",9%,11%,33%,54%,0%,13%,19%,2,"5,60%","4,20%","6,10%","0,00%","14,60%","3,80%","18,20%","33,30%","9,80%","2,80%","0,00%","9,3",0,"24,9","0,3","0,1","0,3","0,178","5,4","-1,8","3,5","1,1","77,4",100,"122,4","-22,4",56%,17%,18%,11%,60%,38%,13%,7%,"80,1","106,4","101,7","4,7",57%,24%,15%,9%,51%,31%,14%,5%,"-2,6","-6,4","20,7","-27,1",-1%,-7%,3%,2%,9%,6%,-1%,2%
Yuta Watanabe,Japan,5,3,2,60%,"35,2","14,8","3,8","6,4",59%,"1,6","6,2",26%,"5,4","12,6",43%,"2,4","3,2",75%,0,"6,2","6,2",1,2,"0,6","1,8",0,2,0,"12,4","-2,8","15,8",20%,"0,94","105,1","108,9","-3,8","80,1",99,"-18,9",49%,53%,19%,"1,2",16%,"1,23",4%,"1,33",10%,"0,75",29%,"0,78",9%,13%,4%,3%,5%,4%,6%,"0,5","0,00%","0,00%","0,00%","0,00%","16,40%","16,10%","13,20%","7,10%","8,60%","0,80%","2,60%","2,7",0,"12,8","-0,3","0,4","0,1","0,018","-14,3","0,4","-13,9","-5,8","79,7","105,1","108,9","-3,8",58%,18%,16%,9%,54%,31%,13%,6%,"75,8",100,"84,6","15,4",46%,50%,10%,10%,44%,71%,19%,6%,"3,8","5,1","24,3","-19,2",12%,-32%,7%,0%,10%,-40%,-6%,-1%
Yudai Baba,Japan,5,3,2,60%,"21,6","6,4","2,2","3,4",65%,"0,6",2,30%,"2,8","5,4",52%,"0,2","0,2",100%,"0,8","1,6","2,4","2,2",2,"1,4",0,0,"1,2",0,"6,6",3,"7,4",21%,"0,86","116,3","108,2","8,1","96,4","97,3","-0,9",57%,59%,41%,"1,33",5%,1,0%,-,5%,"1,5",22%,"0,75",0%,27%,16%,19%,18%,6%,23%,"1,1","6,10%","0,00%","10,00%","0,00%","9,50%","4,30%","11,10%","50,00%","8,00%","4,10%","0,00%","3,5",0,"11,6",0,"0,2","0,2","0,063","-12,8","1,4","-11,4","-2,8","81,7","116,3","108,2","8,1",67%,12%,17%,9%,55%,35%,16%,4%,"77,7",96,"106,6","-10,6",50%,27%,15%,9%,53%,31%,12%,8%,4,"20,3","1,5","18,7",16%,-15%,1%,0%,2%,3%,4%,-4%
Yudai Nishida,Japan,5,3,2,60%,2,"0,4","0,2","0,2",100%,0,"0,6",0%,"0,2","0,8",25%,0,0,-,"0,2",0,"0,2","0,2","0,4",0,0,0,0,0,"-0,2","3,4","1,2",6%,"0,33",114,"98,9","15,1","47,5","100,5",-53,25%,25%,0%,-,17%,2,0%,-,17%,0,33%,0,-,33%,2%,0%,0%,7%,14%,"0,5","2,40%","0,00%","4,30%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","0,00%","0,00%",0,0,"-7,6","-0,1","0,1",0,"0,062","-16,8","-0,9","-17,7","-0,4","81,1",114,"98,9","15,1",59%,21%,12%,16%,51%,26%,14%,6%,"78,9",102,"109,8","-7,8",57%,22%,17%,7%,55%,35%,14%,6%,"2,2",12,"-10,9","22,9",2%,-1%,-5%,8%,-4%,-9%,0%,0%
Joshua Hawkinson,Japan,5,3,2,60%,35,21,5,"6,8",74%,1,"3,4",29%,6,"10,2",59%,8,9,89%,3,"7,8","10,8",2,2,"0,6","1,4",0,"2,4",0,"26,2","-3,4","16,2",39%,"1,3","95,7","103,7","-7,9","117,8","84,5","33,3",64%,74%,25%,"1,6",17%,"1,29",0%,-,2%,"1,5",19%,"0,8",25%,12%,38%,42%,25%,0%,11%,1,"15,00%","22,50%","9,00%","0,00%","39,40%","49,10%","21,70%","25,00%","27,10%","1,60%","4,00%","6,3",0,"28,5","0,3","0,4","0,7","0,154","11,6","4,6","16,2","8,8",78,"95,7","103,7","-7,9",52%,22%,17%,7%,52%,31%,14%,6%,"80,7","112,9","110,6","2,3",62%,22%,15%,12%,55%,34%,14%,6%,"-2,6","-17,2","-6,9","-10,2",-10%,0%,2%,-5%,-3%,-3%,0%,0%
Keisei Tominaga,Japan,5,3,2,60%,"17,8","11,4","1,8",3,60%,"2,4","6,4",38%,"4,2","9,4",45%,"0,6","0,8",75%,"0,2",1,"1,2","1,4","1,4",1,0,0,"0,8",0,"7,4","4,8",11,26%,"1,04","110,5","101,5",9,"92,4","94,7","-2,2",57%,58%,9%,"1,2",7%,"0,5",11%,"1,67",9%,"1,2",47%,"1,15",4%,13%,10%,12%,12%,0%,11%,1,"1,30%","0,00%","1,80%","0,00%","4,50%","3,70%","4,80%","0,00%","3,20%","2,60%","0,00%","2,1",0,"19,4","-0,1","0,3","0,2","0,078","-10,8","-2,6","-13,5","-2,8","80,3","110,5","101,5",9,63%,18%,18%,7%,51%,30%,15%,6%,"78,5",99,"112,8","-13,8",52%,25%,14%,12%,56%,36%,13%,6%,"1,8","11,5","-11,3","22,8",11%,-7%,4%,-5%,-6%,-6%,1%,0%
Shuta Hara,Japan,5,3,2,60%,"8,8",0,0,"0,2",0%,0,1,0%,0,"1,2",0%,0,0,-,"0,6","0,4",1,0,"0,4",0,0,0,"0,4",0,-1,"-0,2","1,6",6%,0,"93,6","97,5","-3,9","24,4","98,3",-74,0%,0%,0%,-,13%,0,0%,-,13%,0,50%,0,-,25%,0%,0%,0%,0%,0%,0,"4,50%","7,10%","2,20%","0,00%","3,00%","0,00%","4,30%","0,00%","3,80%","0,00%","0,00%","1,7",0,-6,"-0,1","0,1",0,"-0,006","-17,4","-1,2","-18,6",-2,"81,2","93,6","97,5","-3,9",50%,18%,15%,12%,49%,30%,15%,5%,"78,6","109,9","111,6","-1,7",61%,24%,17%,8%,56%,34%,13%,6%,"2,7","-16,3","-14,1","-2,3",-11%,-5%,-2%,4%,-6%,-4%,1%,-1%
Soichiro Inoue,Japan,5,3,2,60%,"0,8",0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,"-0,2",0,-,-,"66,7",100,"-33,3",-,"77,3","-77,3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-,-,-,0,"0,00%","0,00%","0,00%",-,"0,00%","0,00%","0,00%",-,"0,00%","0,00%","0,00%",0,0,0,0,0,0,"0,103",-15,"0,4","-14,6","-0,1",-,"66,7",100,"-33,3",25%,33%,0%,0%,30%,67%,0%,20%,"79,5","105,1","107,4","-2,3",58%,22%,16%,9%,54%,32%,14%,6%,"-79,5","-38,4","-7,4",-31,-33%,12%,-16%,-9%,-24%,35%,-14%,14%
Hirotaka Yoshii,Japan,5,3,2,60%,"20,8","2,2","0,8","2,2",36%,0,1,0%,"0,8","3,2",25%,"0,6",1,60%,"0,8","1,4","2,2","1,6","0,2",1,"0,2",0,"2,6",0,"1,6",-1,"3,8",6%,"0,58","107,5","108,1","-0,6","88,3","102,6","-14,3",25%,31%,37%,"1,14",21%,0,0%,-,11%,0,16%,0,11%,5%,6%,4%,8%,8%,30%,8,"2,80%","0,00%","4,10%","0,00%","4,60%","7,10%","2,10%","0,00%","3,70%","1,70%","0,40%","4,4",0,"4,2","-0,1","0,3","0,2","0,079","-13,7","1,3","-12,3",-3,"78,3","107,5","108,1","-0,6",58%,19%,14%,9%,54%,31%,14%,6%,"82,5","97,1","104,9","-7,8",56%,29%,20%,10%,52%,40%,14%,4%,"-4,1","10,4","3,2","7,2",1%,-10%,-6%,-1%,2%,-9%,-1%,2%
Koya Kawamata,Japan,5,3,2,60%,5,0,0,"0,2",0%,0,0,-,0,"0,2",0%,0,0,-,"0,2","0,6","0,8","0,2",0,0,0,0,"0,6",0,"0,2",-2,"0,2",1%,0,103,"110,5","-7,5","103,5","109,8","-6,2",0%,0%,100%,0,0%,-,0%,-,0%,-,0%,-,-,0%,2%,3%,0%,0%,50%,"0,2","1,50%","3,70%","0,00%","0,00%","4,70%","0,00%","4,40%","10,00%","3,10%","0,00%","0,00%","2,3",0,"0,1",0,"0,1","0,1","0,101","-14,9","0,5","-14,4","-0,9",79,103,"110,5","-7,5",55%,17%,14%,15%,57%,23%,12%,7%,"79,6","105,7","105,7",0,58%,24%,17%,7%,52%,37%,15%,5%,"-0,6","-2,7","4,8","-7,5",-3%,-7%,-3%,8%,4%,-14%,-3%,1%
Amr Zahran,Egypt,5,2,3,40%,"20,2","7,8","2,8","4,8",58%,"0,4","2,2",18%,"3,2",7,46%,1,2,50%,"1,2","1,6","2,8","1,2",1,1,"0,2",0,3,0,"4,2",1,9,24%,"0,87","104,2",100,"4,2","88,1","96,4","-8,3",49%,49%,29%,"1,23",24%,"1,09",0%,-,4%,0,20%,"0,67",11%,11%,9%,9%,11%,7%,12%,"1,2","8,00%","5,10%","12,90%","0,00%","10,80%","4,70%","17,10%","0,00%","9,40%","2,90%","0,80%","8,8",0,"11,3","-0,1","0,2","0,1","0,03","-2,3","0,7","-1,6","0,1","83,5","104,2",100,"4,2",56%,23%,16%,11%,57%,19%,19%,11%,78,"101,7","106,2","-4,5",55%,36%,19%,7%,53%,32%,13%,9%,"5,5","2,4","-6,2","8,6",1%,-13%,-3%,4%,4%,-13%,6%,2%
Karim Elgizawy,Egypt,5,2,3,40%,"9,6","2,2","0,2","0,2",100%,"0,6","0,8",75%,"0,8",1,80%,0,0,-,0,"0,4","0,4","0,6","0,8","0,4",0,0,"0,8",0,"1,8","-1,2","1,8",8%,"1,22",100,"107,8","-7,8",110,"105,8","4,2",110%,110%,0%,-,11%,2,0%,-,11%,0,33%,3,-,44%,7%,8%,10%,0%,25%,"0,8","0,00%","0,00%","0,00%","0,00%","4,40%","4,50%","4,20%","0,00%","2,00%","2,00%","0,00%","3,9",0,"8,2",0,"0,1","0,1","0,073","-2,6","1,7","-0,9","0,2","78,3",100,"107,8","-7,8",54%,30%,19%,7%,59%,22%,17%,13%,"80,9","103,7",102,"1,7",57%,31%,18%,9%,53%,28%,15%,9%,"-2,6","-3,7","5,8","-9,5",-3%,-2%,2%,-3%,6%,-6%,2%,5%
Ehab Amin,Egypt,5,2,3,40%,"35,2","19,4","4,2",8,53%,"2,4","7,6",32%,"6,6","15,6",42%,"3,8",5,76%,"0,2","4,6","4,8","5,6","3,8","2,6","0,2",0,"2,4",0,"16,2","1,4","21,8",28%,"0,89","104,3","103,8","0,5","106,5",95,"11,5",50%,54%,13%,"1,29",17%,"1,11",7%,"0,5",3%,1,32%,"0,94",11%,17%,22%,25%,38%,0%,20%,"1,5","0,60%","0,00%","0,00%","5,60%","13,40%","16,10%","6,90%","3,80%","7,30%","3,80%","0,30%","3,5",0,"19,6","0,2","0,4","0,6","0,136","0,4","1,1","1,6","1,7","80,3","104,3","103,8","0,5",57%,25%,18%,10%,54%,26%,15%,10%,"79,5","92,3","101,9","-9,6",48%,55%,21%,3%,57%,33%,18%,9%,"0,8",12,"1,9","10,1",9%,-30%,-3%,6%,-3%,-7%,-2%,1%
Amr El Gendy,Egypt,5,2,3,40%,"24,4",11,2,"4,4",45%,"1,8","5,4",33%,"3,8","9,8",39%,"1,6","2,6",62%,1,3,4,"3,8","1,6","0,6",0,0,"1,4",0,"9,4",-6,"12,2",22%,"0,9","95,1","108,3","-13,2","109,4","102,6","6,7",48%,52%,5%,"1,33",28%,"0,82",3%,1,2%,3,43%,"0,92",7%,13%,22%,24%,30%,11%,24%,"2,4","3,90%","6,00%","1,90%","0,00%","12,50%","13,20%","10,50%","0,00%","8,10%","1,20%","0,00%","2,9",0,"15,9","0,1","0,2","0,3","0,111","2,5","-1,2","1,2","1,1",78,"95,1","108,3","-13,2",50%,28%,18%,9%,56%,30%,15%,11%,"83,9","114,6","96,1","18,5",65%,37%,19%,9%,53%,20%,17%,8%,"-5,9","-19,6","12,1","-31,7",-14%,-10%,-1%,0%,2%,10%,-2%,2%
Adam Moussa,Egypt,5,2,3,40%,"11,8",2,"0,4","1,6",25%,"0,4","1,8",22%,"0,8","3,4",24%,0,0,-,"0,2","0,4","0,6","1,4","1,8","0,4",0,0,"0,2",0,"-0,2","-6,8","5,2",21%,"0,38","95,6","122,2","-26,6","68,4","116,8","-48,4",29%,29%,8%,1,12%,0,12%,"0,67",4%,0,31%,"0,75",-,35%,15%,10%,33%,14%,21%,"0,8","2,10%","0,00%","3,40%","0,00%","3,90%","7,70%","0,00%","0,00%","3,10%","1,70%","0,00%","0,9",0,"-2,8","-0,2",0,"-0,2","-0,137","-10,9","-1,6","-12,5","-1,7","78,8","95,6","122,2","-26,6",57%,21%,23%,6%,63%,27%,13%,7%,"80,8","105,6","95,7","9,9",55%,34%,16%,10%,51%,26%,17%,11%,"-1,9",-10,"26,5","-36,5",1%,-13%,6%,-4%,12%,1%,-4%,-4%
Anas Mahmoud,Egypt,5,2,3,40%,"23,8","12,8","6,2","8,6",72%,0,0,-,"6,2","8,6",72%,"0,4","1,2",33%,"2,4","3,2","5,6","1,4","2,4","1,2","2,2",0,"2,2",0,"15,4","6,2","11,2",29%,"1,14","114,9","96,4","18,5","114,5","82,2","32,3",72%,73%,48%,"1,48",25%,"1,43",4%,1,0%,-,0%,-,2%,21%,12%,19%,6%,6%,11%,"0,6","15,00%","22,60%","0,00%","0,00%","19,50%","18,20%","12,50%","18,20%","17,30%","3,60%","8,10%","6,5",0,"26,6","0,2","0,3","0,5","0,164","1,6",7,"8,6","3,5","79,9","114,9","96,4","18,5",59%,31%,15%,9%,52%,22%,16%,11%,"80,4",94,"108,7","-14,7",53%,31%,20%,8%,57%,30%,15%,9%,"-0,6","20,9","-12,3","33,2",5%,0%,-5%,1%,-5%,-8%,1%,2%
Youssef Aboushousha,Egypt,5,2,3,40%,"8,8","1,4","0,6","1,2",50%,0,"0,6",0%,"0,6","1,8",33%,"0,2","0,4",50%,"0,4","1,6",2,"0,4","0,4","0,4",0,0,"0,8",0,"1,6","0,4","2,4",11%,"0,58","108,1",105,"3,1","92,6","98,9","-6,3",33%,35%,25%,"0,67",17%,2,8%,0,17%,0,8%,0,8%,17%,5%,0%,18%,0%,14%,1,"4,40%","5,60%","3,80%","0,00%","15,40%","4,20%","20,70%","14,30%","10,30%","2,00%","0,00%",4,0,"5,3",0,"0,1","0,1","0,076",-7,"1,8","-5,1","-0,4","80,3","108,1",105,"3,1",59%,29%,20%,4%,53%,21%,11%,6%,"80,2",101,103,-2,55%,32%,17%,10%,55%,29%,17%,11%,"0,1","7,1",2,"5,1",5%,-3%,2%,-6%,-2%,-8%,-7%,-5%
Patrick Gardner,Egypt,5,2,3,40%,"22,4","8,8","1,6","3,4",47%,"1,2","3,8",32%,"2,8","7,2",39%,2,"2,8",71%,"0,6","4,2","4,8","1,2","1,4","0,2",0,0,"1,4",0,7,"-2,2","9,6",17%,"0,92","99,2","106,3","-7,1","85,6","102,7","-17,1",47%,54%,17%,1,17%,1,2%,0,10%,"1,8",29%,"0,64",10%,15%,6%,7%,0%,7%,11%,"0,9","2,70%","4,10%","1,60%","0,00%","16,90%","14,70%","14,30%","10,00%","10,20%","0,40%","0,00%","2,8",0,"11,3","-0,2","0,2","0,1","0,024","-3,8","-0,2","-3,9","-0,6","81,4","99,2","106,3","-7,1",56%,25%,20%,7%,56%,25%,15%,9%,78,"109,3","98,6","10,7",55%,39%,14%,11%,52%,30%,16%,11%,"3,4","-10,1","7,7","-17,7",1%,-14%,7%,-4%,4%,-5%,-1%,-1%
Khaled Abdelgawad,Egypt,5,2,3,40%,"4,4","1,2","0,4","0,8",50%,0,0,-,"0,4","0,8",50%,"0,4","0,6",67%,0,"0,4","0,4","0,4","0,2","0,2","0,2",0,1,0,"0,6","-3,4","1,2",9%,1,"84,5","115,8","-31,3","126,9","116,1","10,9",50%,60%,33%,1,33%,1,0%,-,0%,-,0%,-,17%,17%,10%,0%,50%,0%,25%,2,"0,00%","0,00%","0,00%","0,00%","8,70%","0,00%","13,30%","0,00%","3,60%","1,80%","2,30%","8,8",0,"7,9",0,0,0,"0,081","-3,5","2,1","-1,5",0,"85,4","84,5","115,8","-31,3",46%,18%,17%,17%,66%,17%,18%,11%,"79,4","105,8","101,5","4,4",57%,34%,18%,7%,53%,28%,15%,10%,6,"-21,3","14,3","-35,7",-11%,-15%,-1%,10%,13%,-11%,3%,2%
Omar Hussein,Egypt,5,2,3,40%,"12,2",2,"0,8","0,8",100%,0,"0,2",0%,"0,8",1,80%,"0,4","0,6",67%,0,"0,6","0,6","0,6","0,8","0,2","0,4",0,"2,8",0,"-0,2","9,4",2,7%,1,"112,8","80,5","32,3","99,4","82,2","17,2",80%,83%,30%,2,10%,2,0%,-,0%,-,10%,0,10%,40%,5%,5%,10%,0%,23%,"0,8","0,00%","0,00%","0,00%","0,00%","3,80%","2,30%","4,90%","0,00%","2,20%","0,80%","1,90%","10,9",0,1,0,"0,3","0,3","0,167","-5,2","2,5","-2,7","-0,1","80,9","112,8","80,5","32,3",60%,30%,17%,9%,43%,21%,16%,10%,"79,9","97,8","114,5","-16,7",54%,31%,19%,9%,60%,31%,16%,10%,1,15,-34,"49,1",6%,-1%,-2%,0%,-18%,-11%,0%,0%
Assem Marei,Egypt,5,2,3,40%,"24,2","12,2","4,6","8,8",52%,0,"0,2",0%,"4,6",9,51%,3,"4,8",63%,"3,4","4,6",8,1,1,"1,4","0,4",0,"2,2",0,"13,6",3,"11,8",20%,"1,03","103,8","100,4","3,4","114,4",92,"22,4",51%,56%,36%,"1,24",39%,"0,87",0%,-,2%,0,0%,-,15%,8%,5%,5%,5%,6%,8%,1,"14,20%","18,30%","10,70%","0,00%","17,70%","17,60%","14,50%","4,80%","16,00%","2,70%","0,90%","4,3",0,"24,4","0,2","0,4","0,5","0,181","-0,5","1,8","1,3","1,1","80,9","103,8","100,4","3,4",55%,29%,17%,9%,54%,25%,17%,10%,79,"100,7","109,2","-8,4",57%,34%,19%,8%,57%,30%,13%,10%,"1,9","3,1","-8,8","11,9",-2%,-5%,-2%,1%,-3%,-4%,4%,0%
Omar Oraby,Egypt,5,2,3,40%,"3,2","1,6","0,8","0,8",100%,0,0,-,"0,8","0,8",100%,0,0,-,"0,4","0,4","0,8",0,0,0,"0,2",0,"0,8",0,"1,8","-0,8","0,8",8%,2,"102,2","106,3","-4,1",201,"100,4","100,6",100%,100%,100%,2,0%,-,0%,-,0%,-,0%,-,-,0%,0%,0%,0%,0%,0%,0,"9,50%","16,70%","0,00%","0,00%","6,90%","18,20%","0,00%","0,00%","8,00%","0,00%","2,00%","8,3",0,"25,9","0,1","0,1","0,1","0,32","0,4","-0,5","-0,1","0,1","71,4","102,2","106,3","-4,1",57%,24%,20%,8%,48%,45%,13%,7%,"81,5","102,8","103,2","-0,3",56%,32%,18%,9%,56%,23%,16%,10%,"-10,1","-0,6","3,1","-3,7",2%,-8%,2%,-1%,-8%,22%,-3%,-4%
Margiris Normantas,Lithuania,8,6,2,75%,"20,3",6,"1,3",2,63%,"0,9","2,8",32%,"2,1","4,8",45%,"0,9","1,1",78%,"0,3","1,1","1,4","3,1","1,5","0,4","0,1",0,"2,3",0,"4,4","3,8","6,5",16%,"0,92","115,6","110,2","5,4","117,1","107,9","9,2",54%,59%,6%,"1,33",12%,1,12%,"1,33",2%,3,31%,"0,75",6%,23%,19%,12%,30%,7%,32%,"2,1","1,50%","0,00%","3,70%","0,00%","6,20%","4,50%","6,70%","0,00%","4,00%","1,00%","0,40%","6,1",0,"7,8","0,3","0,2","0,5","0,111","0,5","-0,1","0,5","1,1","75,5","115,6","110,2","5,4",62%,28%,17%,6%,56%,18%,9%,8%,"72,7","120,9","102,2","18,7",59%,39%,13%,12%,51%,25%,11%,11%,"2,8","-5,3",8,"-13,3",3%,-11%,4%,-6%,5%,-7%,-2%,-3%
Tadas Sedekerskis,Lithuania,8,6,2,75%,"23,3","6,6",2,4,50%,"0,4",1,38%,"2,4",5,48%,"1,5","1,9",80%,"2,1","5,1","7,3","1,1","0,6","0,1","0,6",0,"1,3",0,"10,9",0,"6,5",15%,"1,02","115,2","109,9","5,2","127,8","101,5","26,3",51%,58%,40%,"1,05",15%,1,2%,0,4%,0,10%,"1,8",11%,10%,7%,6%,13%,0%,15%,"1,8","11,30%","10,30%","9,50%","5,90%","25,50%","16,30%","26,60%","15,40%","18,60%","0,30%","1,80%","3,2",0,"13,7","0,3","0,3","0,6","0,124","1,3","2,5","3,7",3,"73,4","115,2","109,9","5,2",59%,32%,16%,8%,54%,21%,8%,10%,"75,6","121,7","101,9","19,8",63%,37%,14%,10%,53%,22%,13%,8%,"-2,2","-6,5",8,"-14,5",-3%,-5%,2%,-1%,1%,-1%,-5%,1%
Ignas Brazdeikis,Lithuania,8,6,2,75%,"23,1",11,"2,5","5,4",47%,"1,6","3,1",52%,"4,1","8,5",49%,"1,1","1,8",64%,"0,8","2,8","3,5","2,5","0,8","0,5","0,4",0,"1,9",0,"10,3","3,5",10,24%,"1,1","115,8","107,8",8,"123,1","101,4","21,7",58%,59%,15%,1,23%,"0,89",11%,"0,67",3%,"1,5",24%,"1,42",8%,8%,18%,15%,21%,0%,20%,"3,3","3,90%","1,10%","6,90%","6,70%","14,50%","12,00%","8,80%","17,40%","9,20%","1,40%","1,10%","5,1",0,"16,1","0,4","0,3","0,7","0,154","4,6","0,7","5,3","3,7","72,3","115,8","107,8",8,58%,29%,13%,7%,53%,21%,9%,9%,77,"120,5","105,2","15,3",65%,41%,18%,11%,54%,22%,12%,10%,"-4,7","-4,7","2,6","-7,3",-7%,-11%,-5%,-3%,-1%,-1%,-3%,-1%
Gabrielius Maldunas,Lithuania,8,6,2,75%,"3,9","0,8","0,4","0,8",50%,0,0,-,"0,4","0,8",50%,0,0,-,"0,8","0,8","1,5","0,5",0,0,"0,1",0,"0,9",0,"1,6","1,3","0,8",2%,1,"99,5","97,2","2,3","168,5","97,2","71,3",50%,50%,50%,"0,67",17%,2,17%,2,0%,-,0%,-,-,0%,4%,0%,17%,0%,40%,"0,5","5,50%","3,80%","5,60%","0,00%","4,90%","3,40%","5,00%","6,30%","5,20%","0,00%","0,50%","3,2",0,"13,3","0,1","0,3","0,4","0,534",0,"2,1",2,"0,3","73,6","99,5","97,2","2,3",52%,25%,14%,8%,48%,20%,9%,10%,"74,8","130,8","113,4","17,5",67%,41%,16%,9%,58%,22%,11%,9%,"-1,3","-31,3","-16,1","-15,2",-15%,-16%,-2%,-1%,-10%,-2%,-2%,1%
Rokas Jokubaitis,Lithuania,8,6,2,75%,"25,1","12,6","3,4","6,9",49%,"1,4","2,5",55%,"4,8","9,4",51%,"1,8","2,1",82%,"0,8","1,5","2,3","5,8","1,8",1,"0,3",0,"0,8",0,"14,4","8,3","12,1",34%,"1,04","130,9","103,2","27,7","126,8","95,8","31,1",58%,61%,9%,"1,33",25%,"0,92",15%,"0,8",1%,3,20%,"1,58",8%,14%,46%,33%,44%,47%,32%,"3,3","5,30%","4,50%","6,50%","0,00%","8,70%","8,30%","9,40%","0,00%","7,20%","3,20%","0,90%","2,4",0,"20,4","0,8","0,3","1,1","0,221","6,8","-0,8",6,"4,5","73,3","130,9","103,2","27,7",66%,34%,14%,8%,51%,21%,10%,9%,"75,3","105,9",110,"-4,1",56%,34%,16%,9%,56%,22%,10%,9%,-2,25,"-6,8","31,8",11%,0%,-2%,-1%,-4%,-1%,0%,-1%
Jonas Valanciunas,Lithuania,8,6,2,75%,"21,3","14,8","5,1",8,64%,"0,5",1,50%,"5,6",9,63%,3,"4,1",73%,2,"6,8","8,8","0,5","2,3","0,1","1,1",0,"2,1",0,"16,4","4,3",13,51%,"1,13","129,5",115,"14,5",119,"93,5","25,5",65%,72%,18%,"1,58",22%,"1,13",8%,"1,25",0%,-,7%,"1,71",10%,17%,9%,6%,12%,0%,4%,"0,2","20,30%","23,10%","3,60%","0,00%","56,80%","50,00%","41,40%","8,30%","40,20%","0,60%","5,40%","9,4",0,"24,1","0,2","0,3","0,5","0,109","-2,3","-0,3","-2,6","-0,3",73,"129,5",115,"14,5",67%,34%,17%,6%,56%,19%,6%,10%,75,"111,9","102,3","9,6",57%,34%,15%,10%,53%,23%,12%,8%,-2,"17,6","12,7",5,10%,1%,2%,-4%,3%,-4%,-6%,2%
Mindaugas Kuzminskas,Lithuania,8,6,2,75%,"17,6","9,6","1,9","2,9",65%,"1,5","3,3",46%,"3,4","6,1",55%,"1,4","1,6",85%,"0,6","3,1","3,8","1,8",1,"0,4","0,5",0,"2,4",0,"9,6","6,4","7,9",23%,"1,22","114,8",102,"12,8","128,6","93,5","35,1",67%,70%,14%,"1,11",19%,"1,33",2%,2,5%,1,29%,"1,17",10%,13%,15%,12%,27%,4%,18%,"1,8","4,50%","4,30%","5,20%","0,00%","19,40%","12,30%","20,60%","7,10%","12,60%","1,20%","1,80%","7,5",0,"18,8","0,3","0,4","0,7","0,21","4,7","1,7","6,4","3,3","73,2","114,8",102,"12,8",60%,26%,15%,11%,52%,22%,11%,9%,"75,3","120,7","111,1","9,6",61%,39%,16%,7%,55%,21%,9%,9%,-2,"-5,9","-9,1","3,2",-1%,-13%,-1%,4%,-4%,1%,3%,0%
Donatas Motiejunas,Lithuania,8,6,2,75%,"14,6","6,1","2,3","4,4",51%,"0,4","0,6",60%,"2,6",5,53%,"0,5","1,5",33%,"1,4","1,9","3,3","0,8","1,1","0,6","0,3",0,"1,9",0,"4,6","4,3","6,9",29%,"0,89",128,"110,6","17,5","97,8","99,4","-1,6",56%,53%,18%,"1,4",36%,"0,9",4%,0,0%,-,9%,"1,8",11%,16%,9%,12%,10%,0%,10%,"0,7","15,90%","13,20%","16,10%","16,70%","22,10%","17,50%","17,60%","20,00%","19,00%","3,10%","1,50%","9,3",0,"11,6","-0,1","0,2","0,1","0,038","-2,4","1,9","-0,5","0,5",79,128,"110,6","17,5",65%,36%,14%,10%,60%,22%,16%,6%,"72,3","113,2",105,"8,2",59%,33%,16%,8%,51%,21%,7%,10%,"6,7","14,8","5,6","9,3",6%,3%,-2%,2%,9%,1%,8%,-4%
